os_ukc_aft,os_heading,os_mainbeckerrudder_angle,sune_DOA,aarts_DOA,time,label
3.337472785,39.95664843,-2.681874369,1658.947261,1658.951047,0:05:27,0
3.335087224,39.89978941,-0.409856936,1655.074405,1655.078205,0:05:28,0
3.332335311,39.84017693,-0.369397068,1651.267817,1651.271573,0:05:29,0
3.329795487,39.7769612,0.04250281,1647.405834,1647.409485,0:05:30,0
3.327261885,39.71426046,2.904183219,1643.610017,1643.61359,0:05:31,0
3.324754657,39.65515655,3.232324913,1639.737655,1639.741235,0:05:32,0
3.322792182,39.60323484,3.232324913,1635.922945,1635.926616,0:05:33,0
3.320913536,39.56975537,3.228415806,1632.071828,1632.075519,0:05:34,0
3.313675209,39.16773301,3.133519183,1626.073348,1626.077189,0:05:35,0
3.314243793,39.14402789,3.133519183,1626.669025,1626.672726,0:05:36,0
3.309014835,39.10750769,3.133519183,1618.619659,1618.623042,0:05:37,0
3.291561247,39.08429087,3.133519183,1616.826622,1616.830164,0:05:38,0
3.300836024,39.05844972,3.133519183,1614.823458,1614.827079,0:05:39,0
3.310936517,39.02896621,3.133519183,1609.07867,1609.082646,0:05:40,0
3.287827205,39.00587983,3.133519183,1603.57949,1603.583909,0:05:41,0
3.315510955,38.99057216,3.133519183,1603.145359,1603.149788,0:05:42,0
3.301984618,38.96911158,3.133519183,1596.075407,1596.079715,0:05:43,0
3.274091912,38.95080663,3.133519183,1593.764343,1593.768476,0:05:44,0
3.316458153,38.93545247,3.133519183,1591.432532,1591.436571,0:05:45,0
3.292084543,38.9278962,3.133519183,1586.08975,1586.093173,0:05:46,0
3.283454808,38.91669606,3.133519183,1581.00823,1581.011455,0:05:47,0
3.311964807,38.90265879,3.133519183,1579.716961,1579.720114,0:05:48,0
3.274000057,38.90148854,3.133519183,1574.596106,1574.599531,0:05:49,0
3.283572825,38.90028451,3.133519183,1569.74938,1569.752383,0:05:50,0
3.297418758,38.89927847,3.133519183,1563.418273,1563.421027,0:05:51,0
3.28102807,38.88060535,3.133519183,1568.700296,1568.702809,0:05:52,0
3.289138993,38.89300901,3.133519183,1558.461692,1558.464739,0:05:53,0
3.286438322,38.89269741,3.133519183,1556.264871,1556.268228,0:05:54,0
3.273744774,38.9015373,3.133519183,1550.942852,1550.946136,0:05:55,0
3.283892783,38.90062748,3.133519183,1548.449686,1548.452889,0:05:56,0
3.274325615,38.910605,12.47405772,1543.400819,1543.404107,0:05:57,0
3.272919117,38.92060784,9.45793234,1540.845189,1540.848803,0:05:58,0
3.271859751,38.93519623,3.998197136,1535.792226,1535.795885,0:05:59,0
3.266063554,38.94466336,10.76892041,1532.507016,1532.510719,0:06:00,0
3.267661346,38.95939961,1.773363598,1528.644923,1528.648725,0:06:01,0
3.265431822,38.97098889,0.366963839,1524.82649,1524.830288,0:06:02,0
3.262741323,38.98063649,0.366963839,1520.92144,1520.925181,0:06:03,0
3.260924082,38.98755087,0.366963839,1517.228502,1517.232207,0:06:04,0
3.258852311,38.99198238,0.366963839,1513.360879,1513.364534,0:06:05,0
3.256090033,38.99245698,0.366963839,1509.509975,1509.513592,0:06:06,0
